input_image,output_image,mse,psnr,ssim,lpips,timestamp
examples/1/input.jpeg,examples/1/output-1.png,16900.230074493218,5.851877438635452,0.20244523944150047,0.6571130156517029,2025-09-23 19:03:35
examples/1/input.jpeg,examples/1/output2.png,6863.537813449436,9.76532330174511,0.4081946641626169,0.5418951511383057,2025-09-23 19:03:35
examples/2/input.jpeg,examples/2/output-1.png,6211.789514555708,10.198636295576405,0.17022657404394861,0.6235055327415466,2025-09-23 19:03:36
examples/2/input.jpeg,examples/2/output-2.png,6867.5123961451245,9.762809088550245,0.14725388997521308,0.6754070520401001,2025-09-23 19:03:36
examples/3/input.jpeg,examples/3/output-1.png,1394.2271297672114,16.687468316041596,0.7054929604602431,0.2660273015499115,2025-09-23 19:03:37
examples/3/input.jpeg,examples/3/output3.png,7706.159957077732,9.262423414290264,0.412255874334667,0.41844478249549866,2025-09-23 19:03:37
examples/4/input.jpg,examples/4/output-1.png,11433.239669335133,7.549110533807374,0.18797003050590405,0.5855701565742493,2025-09-23 19:03:37
examples/4/input.jpg,examples/4/output-2.png,7.383001543209876,39.44847401668327,0.9954458580678337,0.005445630755275488,2025-09-23 19:03:38
examples/5/input.jpeg,examples/5/output-1.png,19178.151008630164,5.302736269309321,0.07294989795073814,0.6372419595718384,2025-09-23 19:03:38
examples/5/input.jpeg,examples/5/output-2.png,15906.605799769924,6.115028424212862,0.1187809417683184,0.6607066988945007,2025-09-23 19:03:39
examples/6/input.jpg,examples/6/output-1.png,9658.62192017104,8.281651946138433,0.18536185500207408,0.5605000257492065,2025-09-23 19:03:39
examples/6/input.jpg,examples/6/output-2.png,7430.029959996541,9.420897959047856,0.1938588547510777,0.6780364513397217,2025-09-23 19:03:39
examples/7/input.jpg,examples/7/output1.png,7140.151627178925,9.593729263819448,0.288687007036804,0.6402878761291504,2025-09-23 19:03:40
examples/7/input.jpg,examples/7/output2.png,8188.141786331225,8.99895006544257,0.10709198701359161,0.7287987470626831,2025-09-23 19:03:40
examples/8/input.jpg,examples/8/output1.png,14137.442642386832,6.627095049252334,0.06502252168998415,0.729180097579956,2025-09-23 19:03:40
examples/8/input.jpg,examples/8/output2.png,11853.23519855967,7.3924345886592455,0.1739442220422732,0.7007099390029907,2025-09-23 19:03:40
